Channel,MI_Loss,MI_Win,Difference
CH038,0.458481569453083,0.592181608747478,-0.133700039294395
CH039,0.588973301221477,0.567833618974377,0.0211396822470994
CH040,0.618827969661611,0.52232274090211,0.0965052287595011
CH041,0.683829008994977,0.563544341992368,0.120284667002609
CH042,0.61837782180333,0.482289716572114,0.136088105231215
CH043,0.521781417807215,0.448859903190024,0.072921514617191
CH044,0.505603323035743,0.46688900378655,0.0387143192491933
CH045,0.421110920111822,0.489761333833785,-0.0686504137219632
CH046,0.469938378346313,0.498889546414375,-0.0289511680680626
CH047,0.215146193759096,0.615333649575307,-0.400187455816211
CH048,0.464928153895014,0.511514437363042,-0.0465862834680279
CH049,0.439304662101007,0.500631038961616,-0.0613263768606087
CH050,0.561966617136088,0.571500933216209,-0.00953431608012123
CH051,0.614512778002757,0.642249885530371,-0.0277371075276138
CH052,0.51396706202337,0.458972450464071,0.0549946115592982
CH053,0.402028229604775,0.516647082445187,-0.114618852840412
CH054,0.51759356876179,0.580423930223702,-0.0628303614619118
CH055,0.559292428709271,0.682680345191355,-0.123387916482084
CH056,0.531838496496951,0.583341825996123,-0.0515033294991724
CH057,0.331471979935351,0.586250166549528,-0.254778186614177
CH058,0.515817507998633,0.619676708801713,-0.10385920080308
CH059,0.523489033336404,0.481764742719315,0.0417242906170883
CH060,0.499855361877631,0.575771766139807,-0.0759164042621763
CH061,0.526976920878579,0.514784634490976,0.0121922863876031
CH062,0.426172068682175,0.482510996907533,-0.0563389282253574
CH063,0.355177285480437,0.528694403858073,-0.173517118377637
CH064,0.478678917951345,0.456480962783922,0.022197955167423
CH065,0.515323310391724,0.525625506053125,-0.0103021956614003
CH066,0.459373894089853,0.514753245667978,-0.0553793515781246
CH067,0.46051597118948,0.553517818455623,-0.0930018472661426
CH068,0.516629145982852,0.50729396610752,0.00933517987533194
CH069,0.485889501023281,0.594753431322089,-0.108863930298807
CH070,0.463997295705578,0.496899622428561,-0.0329023267229834
CH071,0.358510275505647,0.43116961308164,-0.0726593375759926
CH072,0.596154529346372,0.642331644878303,-0.0461771155319303
CH073,0.527153411973261,0.562402428454647,-0.0352490164813858
CH074,0.625454537503576,0.434205220581649,0.191249316921928
CH075,0.514109238480508,0.594853423022278,-0.08074418454177
CH076,0.4861031324595,0.497381238590748,-0.0112781061312486
CH077,0.379895827300204,0.581387045333248,-0.201491218033044
CH078,0.494780018007481,0.655136750972619,-0.160356732965138
CH079,0.568630161560494,0.400213419993289,0.168416741567205
CH080,0.568075519116195,0.382148751649388,0.185926767466807
CH081,0.497925661202887,0.436144047067049,0.061781614135838
CH082,0.499458308642426,0.506804324356184,-0.00734601571375809
CH083,0.448010418940611,0.532479681161223,-0.0844692622206123
CH084,0.673073511445459,0.414242569899504,0.258830941545955
CH085,0.61083891845258,0.576619609136103,0.0342193093164771
CH086,0.483131867285647,0.511979427213667,-0.0288475599280207
CH087,0.417749318523273,0.579073393954742,-0.161324075431469
CH088,0.333444642194654,0.502684209763721,-0.169239567569067
CH089,0.501329293144681,0.415129148106558,0.0862001450381225
CH090,0.343054935163581,0.532745109822689,-0.189690174659108
CH091,0.339065042487095,0.454916955443367,-0.115851912956272
CH092,0.492996830010388,0.460658165464823,0.0323386645455656
CH093,0.448580403849626,0.532141987959099,-0.0835615841094728
CH094,0.335994335544286,0.52796781585911,-0.191973480314824
CH095,0.458322954688405,0.545554824255939,-0.087231869567534
CH096,0.387412128144625,0.440756822912683,-0.0533446947680588
CH097,0.426046856599183,0.547997473625819,-0.121950617026636
CH098,0.529201208702464,0.490059406732491,0.0391418019699727
CH099,0.345614919901112,0.580584477366135,-0.234969557465023
CH100,0.371373434659432,0.55125933282661,-0.179885898167178
CH101,0.450829447421261,0.582306815379954,-0.131477367958693
CH102,0.46453537377542,0.532953085454487,-0.0684177116790669
CH103,0.549061068050035,0.515830720558321,0.0332303474917145
CH104,0.518186255535214,0.453775136070753,0.0644111194644614
CH105,0.404272305983993,0.616330951090479,-0.212058645106486
CH106,0.500419332824227,0.482779037696057,0.0176402951281692
CH107,0.503162325708544,0.432464252247552,0.0706980734609923
CH108,0.499810276964545,0.539859651137505,-0.0400493741729597
CH109,0.59737974102576,0.653756290401327,-0.0563765493755668
